Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000005381,139807.49320739743,-5.464114839868984,0.23775050452343616,-22.982558337033353,6.96606653820077e-117,1.5874969033905734e-112,Prot.218
ENSG00000164683,2948.7927005568804,6.983693618558432,0.32018881846601766,21.811172707455512,1.817573764512993e-105,2.07103442597433e-101,Prot.218
ENSG00000138061,19120.063882134127,4.987806334487983,0.2470385771711266,20.190394518961586,1.1891115375330911e-90,9.03288760961387e-87,Prot.218
ENSG00000167580,3685.787084382509,11.053128295721727,0.5945629359800851,18.590341958503704,3.847173300945568e-77,2.1918308088812138e-73,Prot.218
ENSG00000244734,2586.928844491662,-5.288474274683237,0.334120077921349,-15.82806489087474,1.9925547916654112e-56,9.081666229452611e-53,Prot.218
ENSG00000071246,2868.5583985089434,4.551059976297635,0.2985376750897804,15.244508000301728,1.7907676964317872e-52,6.801634172330666e-49,Prot.218
ENSG00000124762,30785.050493293897,4.130059377744284,0.3220469151366635,12.824402854446397,1.1970526736035926e-37,3.897090482678896e-34,Prot.218
ENSG00000153234,1375.7460454783225,4.803648719380475,0.3842330608274218,12.501914096189742,7.287520808656277e-36,2.0759413963558486e-32,Prot.218
ENSG00000123358,1042.636741745102,4.562503273902094,0.3703746232774677,12.31861738671031,7.191669557610608e-35,1.821010639426535e-31,Prot.218
ENSG00000221955,2126.851005544175,3.6634023556036794,0.3023844371227449,12.115049274565077,8.791128391159086e-34,2.003410249061244e-30,Prot.218
ENSG00000133636,1954.6036035085945,4.992734044099903,0.4129987820660466,12.088980067019826,1.207767455595899e-33,2.502164776870449e-30,Prot.218
ENSG00000186522,1624.9177764618632,3.8314848299090873,0.3255201665626409,11.770345506909731,5.549675355516988e-32,1.0539295973073052e-28,Prot.218
ENSG00000159640,1170.6333277953852,4.032564463324081,0.3437066537109158,11.732576078424666,8.67768220029037e-32,1.4134375294917482e-28,Prot.218
ENSG00000151012,2664.178852153823,3.3760779538679975,0.2877538050640608,11.732522366181753,8.683191633193416e-32,1.4134375294917482e-28,Prot.218
ENSG00000134827,18940.61704821233,2.866817150007499,0.2472096517394575,11.596703971044517,4.282563052883722e-31,6.506355294144476e-28,Prot.218
ENSG00000126803,6501.331729693936,3.0289322686178854,0.26170385504999816,11.573892436698008,5.588834714868087e-31,7.960247144820553e-28,Prot.218
ENSG00000027869,1504.6955697270982,3.727524528024281,0.33007191534039854,11.29306782790089,1.4199246093366775e-29,1.903450701304326e-26,Prot.218
ENSG00000117318,407.3162669738426,6.744870325073952,0.6024319922018413,11.19606928646333,4.262285366354594e-29,5.396290067436381e-26,Prot.218
ENSG00000136603,3774.018473256684,3.2562164940048324,0.29560545678832795,11.015414023079039,3.2205255462949792e-28,3.862766140764015e-25,Prot.218
ENSG00000105472,3934.994442620238,2.8942862114001566,0.2708772764565976,10.684861606927392,1.1982764037390571e-26,1.3653760482404686e-23,Prot.218
ENSG00000108702,1894.5555482768746,5.05981062212101,0.47390623104888474,10.6768180931537,1.3067407980000237e-26,1.4180626688391685e-23,Prot.218
ENSG00000010278,12593.427464476083,3.7968369230519063,0.3610222253790388,10.516906318068344,7.220558868599137e-26,7.479514366204805e-23,Prot.218
ENSG00000250337,1094.4177792782323,3.7570092462610543,0.361394324507256,10.395872296510351,2.589069896976588e-25,2.5653179948782375e-22,Prot.218
ENSG00000145730,6842.611502209484,2.592085090726784,0.25804131952058534,10.045232660965366,9.641987625345769e-24,9.155468999750196e-21,Prot.218
ENSG00000135318,698.8407927087634,4.186314924693932,0.41857954622926075,10.001241012385828,1.504990442001288e-23,1.371889087310694e-20,Prot.218
ENSG00000104341,6124.641112128871,2.687295347380906,0.2692623275006208,9.98021287391089,1.8606716025585036e-23,1.6308786596425284e-20,Prot.218
ENSG00000135218,15374.09283052579,2.956694364093058,0.3002276784940907,9.848173822358799,6.980066114463142e-23,5.891434321574094e-20,Prot.218
ENSG00000135678,3080.120469414923,3.2971723870891725,0.33538855625240627,9.830903069357534,8.287226474460036e-23,6.744914433088205e-20,Prot.218
ENSG00000183943,6035.506060129846,2.5730788574007932,0.2626244222130791,9.79756123104628,1.1533663872822738e-22,9.063471241301979e-20,Prot.218
ENSG00000122641,369.5938645620562,5.939331774578046,0.60648844404339175,9.79298424052596,1.206804342995057e-22,9.167288057504785e-20,Prot.218
ENSG00000143162,6598.637747627747,2.980055238056372,0.30531717933481933,9.760522629446804,1.6629600674875583e-22,1.2224902250959345e-19,Prot.218
ENSG00000167106,1449.9889391241402,3.127778724108368,0.32396668776582577,9.654630683415308,4.698491702183127e-22,3.3460602312828527e-19,Prot.218
ENSG00000174307,542.9036410355716,4.27484436619363,0.44489970629167797,9.608557402353117,7.357250380361864e-22,5.022806914456654e-19,Prot.218
ENSG00000100292,3546.702578873227,2.888517598711425,0.3006785324685151,9.606663884505588,7.4937660753664595e-22,5.022806914456654e-19,Prot.218
ENSG00000184557,1130.9202385843248,3.7318074471726566,0.38901693719650937,9.592917660774134,8.562864511514807e-22,5.57540341008317e-19,Prot.218
ENSG00000079257,9756.24625924089,2.8034090514631655,0.29348665770073473,9.55208346923141,1.2711377821656743e-21,8.046655254937099e-19,Prot.218
ENSG00000132329,2373.7437932418347,3.0751484336981894,0.3294094477633187,9.33533769167328,1.0066982397909474e-20,6.200444915296189e-18,Prot.218
ENSG00000167768,14816.088554430098,-2.572712723834807,0.28313907632320573,-9.086392303187543,1.0237982085493731e-19,6.139825624903069e-17,Prot.218
ENSG00000115828,3931.1009710590097,2.4537797486188313,0.2705362361475215,9.070059462499518,1.189520827380736e-19,6.950766701328101e-17,Prot.218
ENSG00000181019,6262.354211094975,2.325520357606034,0.25837356531702166,9.000612561709419,2.2446174733262697e-19,1.278814689990809e-16,Prot.218
ENSG00000089472,356.7336026424263,-6.288665512890254,0.7012110423126379,-8.968292187969318,3.011472859176241e-19,1.673864755799204e-16,Prot.218
ENSG00000072274,63759.047156147804,-2.140948041694612,0.23922758497822183,-8.949419616009225,3.5735625953803545e-19,1.9389980472886404e-16,Prot.218
ENSG00000095794,6236.640633651815,3.4355038357620487,0.38733353922509806,8.869626530754706,7.339162402067953e-19,3.889585394900618e-16,Prot.218
ENSG00000166947,361.092102273147,-4.714855095708177,0.5321282844002989,-8.860373022685222,7.974714729254968e-19,4.130358499204351e-16,Prot.218
ENSG00000145632,2100.464642152812,3.4598287468745177,0.39225231252045123,8.820416442271782,1.1403481563427193e-18,5.77497647442094e-16,Prot.218
ENSG00000108691,11748.513605740933,2.600586471881846,0.30144655947985516,8.627023232141536,6.296938826523135e-18,3.119585628644255e-15,Prot.218
ENSG00000137491,3044.1744371008704,2.5308506174207235,0.29351126813970363,8.622669355972068,6.5411120752820055e-18,3.171604320927694e-15,Prot.218
ENSG00000115457,549.4989293140152,4.022147131032407,0.4669400164748204,8.6138411554395,7.065256693904487e-18,3.354377808278945e-15,Prot.218
ENSG00000172379,306.1061098116245,-5.282436857106845,0.6170664925615964,-8.560563441353194,1.1231724383321147e-17,5.223668713704196e-15,Prot.218
