EVE,Type,Chromosome,Protein1,Protein2,HumanCoords,Orientation,MinAge,VirusGenus
Control-PPP1R12C-AAVS1,Control,chr19,PPP1R12C,PPP1R12C,NA,,NA,NA
dependo.0-macropus,Intergenic,chr16,CDH8,CDH11,16:62189064-62190580,,0,Dependoparvovirus
dependo.1-whippomorpha,Intronic,chr9,PAX5,PAX5,9:36853489-36853496,,53.75,Dependoparvovirus
dependo.2-vespertilionidae,Intronic,chr6,KIF6,KIF6,6:39422982-39425107,,31.32,Dependoparvovirus
dependo.3-lagomorpha,Intergenic,chr7,NUPL2,GPNMB,7:23218501-23220555,,51.43,Dependoparvovirus
dependo.4-rhinocerotidae,Intergenic,chr2,CCDC85A,VRK2,2:56547287-56548087,,14.12,Dependoparvovirus
dependo.5-rhinocerotidae,Intronic,chr4,USP38,USP38,4:143184917-143224429,,14.12,Dependoparvovirus
dependo.6-elephas,Intergenic,chr18,PIK3C3,CELF4,18:38855055-38866235,,0,Dependoparvovirus
dependo.7-bradypus?,,,,,NA,,,Dependoparvovirus
dependo.8-dasypus,Intergenic,chr22,PRR14L,KCNH8,22:19148510-31750132,,0,Dependoparvovirus
dependo.9-hyracoidea,,,,,NA,,,Dependoparvovirus
dependo.10-diprotodontia,Intergenic,chr8,MRPS28,TPD52,8:80030259-80034745,,35.01,Dependoparvovirus
dependo.12-orycteropus ,,,,,NA,,,Dependoparvovirus
dependo.13-cercopithecidae,Intergenic,chr21,HUNK,MIS18A,21:32098068-32098075,,12.4,Dependoparvovirus
dependo.14-cercopithecidae,Intronic,chr12,KRT6A,KRT6A,21:52482109-52482121,,12.4,Dependoparvovirus
dependo.15-colobus,Intergenic,chr3,ZBTB20,GAP43,3:115526836-115532441,,0,Dependoparvovirus
dependo.16-canidae,Intergenic,chr2,SPATS2L,MAIP1,2:200143437-200147284,,14.15,Dependoparvovirus
dependo.20-laurasiatheria,Intronic,chr22,GGT5,GGT5,22:24236476-24242627,,77.75,Dependoparvovirus
dependo.22-laurasiatheria,Intergenic,chrX,DIAPH2,PCDH19,X:98175245-98175812,,77.75,Dependoparvovirus
dependo.23-camelidae,Intergenic,chr11,PDGFD,CASP12,11:104771681-104771952,,20.56,Dependoparvovirus
dependo.26-strepsirrhini,Intergenic,chr11,ENSPSMG00000005325,ACAD8,11:134272095-134345651,-,54.69,Dependoparvovirus
dependo.27-eulemur,Intergenic,chr5,PRR16,SRFBP1,5:120916921-120917619,+,,Dependoparvovirus
dependo.28-daubentonia,Intergenic,chr12,LRRK2,CNTN1,12:40658392-40660499,+,,Dependoparvovirus
dependo.33-pteropodidae,Intergenic,chr5,PARP8,ISL1,5:50958291-50958438,,33.76,Dependoparvovirus
dependo.34-megadermatvespertilion,Intergenic,chr3,RPL18AP8,RCC2P5,3:96720524-96720525,,61.66,Dependoparvovirus
dependo.35-vespertilionidae,Intronic,chr7,ANKRD7,ANKRD7,7:118263040-118263054,,33.24,Dependoparvovirus
dependo.36-phyllostomidae,Intergenic,chr6,TMEM200A,SMLR1,6:130764851-130765531,,,Dependoparvovirus
dependo.42-chinchilla,Intergenic,chr17,PLEKHM1,LRRC37A4P,17:45490775-45505883,,0,Dependoparvovirus
dependo.43-octodon,Intergenic,chr22,APOL1,MYH9,22:36268100-36281236,+,0,Dependoparvovirus
dependo.45-bathyergidae,Intergenic,chr6,SLC18B1,EYA4,6:133180282-133183376,,43.36,Dependoparvovirus
dependo.46-gliridae,Intronic,chr9,PCSK5,PCSK5,9:76003270-76011839,-,NA,Dependoparvovirus
dependo.47-pedetes,Intergenic,chr9,TLE4,TLE1,9:80967898-80971940,-,NA,Dependoparvovirus
dependo.48-mus,Intergenic,chr16,CES1P2,CES1P1,16:55726519-55793611,,NA,Dependoparvovirus
dependo.49-apodemus,Intronic,chr9,PCSK5,PCSK5,9:76005001-76010043,-,NA,Dependoparvovirus
dependo.50-muroidae,Intergenic,chr16,SLC6A2,CES1P1,16:55706192-55760599,,NA,Dependoparvovirus
dependo.51-muridae,Intergenic,chr8,SNX16,RALYL,8:83010298-83038101,,NA,Dependoparvovirus
dependo.54-cavid,Intergenic,chr22,APOL3,APOL4,22:36134752-36197047,,43.36,Dependoparvovirus
dependo.55-rodent,Intronic,chr20,BCAS4,BCAS4,20:50800440-50801000,,43.36,Dependoparvovirus
dependo.56-cavid,Intronic,chr3,GUCA1C,GUCA1C,3:108913357-108913358,,5.66,Dependoparvovirus
dependo.58-castor,Intergenic,chr2,LRRTM4,REG3G,2:78044772-78060998,,0,Dependoparvovirus
dependo.61-muscardinus,Intergenic,chr2,CDH18,CDH12,5:20680471-20684922?,-,NA,Dependoparvovirus
dependo.160-gymnobelideus,Intergenic,chr9,SEC61B,NAMA,9:99239314-99292227,+,0,Dependoparvovirus
dependo.190-sarcophilus,Intronic,chr3,SGO1-AS1,SGO1-AS1,3:20858652-20870649,+,0,Dependoparvovirus
dependo.201-thamnophis,Intergenic,chr18,GALR1,SALL3,18:78777575-78805227,+,,Dependoparvovirus
dependo.221-pelusios,Intronic,chr1,PIAS3,PIAS3,1:145857026-145867329,-,0,Dependoparvovirus
dependo.365-passeriformes,Intergenic,chr10,ANKRD1,PCGF5,10:90998918-91163307,,44,Dependoparvovirus
dependo.366-passeriformes,Intergenic,chr4,PTPN13,AFF1,4:86815140-86959933,,65.69,Dependoparvovirus
dependo.367-otididae,Intergenic,chr12,TMTC2,SLC6A15,12:84666026-84860662,+,,Dependoparvovirus
dependo.370-pelecanus,Intergenic,chr10,KLF6,AKR1E12,10:4512911-4526527,+,0,Dependoparvovirus
dependo.371-egretta,Intergenic,chr12,PDE3A,AEBP2,12:19520263-19685396,-,0,Dependoparvovirus
dependo.372-opisthocomus,Intergenic,chr6,SLC35F1,CEP85L,6:118317676-118460772,,0,Dependoparvovirus
dependo.xx-scolopacidae,Intergenic,chr12,KRAS,LMNTD1,12:25250929-25648604,,39,Dependoparvovirus
dependo.57-ornithorhynchus,Intergenic,chr2,MFSD9,TGFBRAP1,2:103605381-103618136,,0,Dependoparvovirus
dependo.59-ornithorhynchus,Intergenic,chr6,CITED2,NMBR,6:139599746-139606611,,0,Dependoparvovirus
dependo.61-sarcophilus,Intronic,chr3,MECOM,MECOM,3:169514067-169525076,,0,Dependoparvovirus
dependo.62-sarcophilus,Intergenic,chr3,TUSC7,IGSF11,3:118743559-118744184,,0,Dependoparvovirus
dependo.xx-mus,Intergenic,chr1,SERTAD4,HHAT,1:182539754-182540179,,0,Dependoparvovirus
,,,,,,,,
,,,,,,,,
amdo.1-ellobius,Intergenic,chr3,IGF2BP2,TRA2B,3:185825042-185914558,,0,Amdoparvovirus
amdo.2-ellobius,Intronic,chr17,MAFG,MAFG,17:81918270-81927735,-,0,Amdoparvovirus
ap.101-serpentes-UR,Intergenic,chr12,R3HDM2,INHBC,12:57411074-57449700,+,29.51,Amdoparvovirus
ap.105-ptyas,Intronic,chr11,GRM5,GRM5,11:88504576-89065945,-,0,Amdoparvovirus
